ref,title,author,lastRunTime,totalVotes
shahules/guide-pytorch-data-samplers-sequence-bucketing,Guide: Pytorch data Samplers & Sequence bucketing,Shahules,2021-07-02 12:02:50.063000,127
debarshichanda/explore-t5,Explore T5🧐,Debarshi Chanda,2021-07-26 05:00:59.870000,116
lars123/neural-tangent-kernel-2,Neural tangent kernel 2,noidea,2021-05-17 11:32:46.057000,111
andradaolteanu/ii-commonlit-bert-vs-roberta-w-b-testing,📖 II.CommonLit: BERT vs RoBERTa + W&B testing,Andrada,2021-06-25 14:29:15.157000,108
shaz13/code-how-bradley-terry-model-works,Code: How Bradley Terry Model Works,Shahebaz Mohammad,2021-05-25 15:38:10.903000,106
gunesevitan/commonlit-readability-prize-eda,CommonLit Readability Prize - EDA,Gunes Evitan,2021-05-20 10:30:48.943000,104
rajat95gupta/mean-pooling-4-seeds,mean_pooling_4_seeds,Rajat Gupta,2021-07-24 06:48:12.480000,102
subinium/how-to-visualize-text-dataset,How to Visualize Text Dataset? 📜,Subin An,2021-11-12 09:57:51.790000,99
jiny333/creating-whl-files-to-install-external-libraries,Creating whl files to install external libraries,SDSTony,2021-05-06 00:35:00.703000,99
the0electronic0guy/commonlit-roberta-top-12,Commonlit Roberta (top 12%),Ajay Tibrewal,2021-07-16 18:08:40.443000,98
shreyasajal/pytorch-lightning-bert-tpu-weights-biases-logs,PyTorch Lightning⚡BERT(TPU)+Weights&Biases logs📑,Shreya Sajal,2021-05-29 15:58:00.907000,98
debarshichanda/pytorch-commonlit-readability-bert-baseline,[Pytorch] CommonLit Readability BERT Baseline 📚,Debarshi Chanda,2021-07-09 20:42:10.933000,98
shreyasajal/prompt-tuning-bert-commonlit-readability,Prompt Tuning BERT🎯:CommonLit Readability,Shreya Sajal,2021-05-22 17:16:06.270000,93
chumajin/bert-v-s-roberta-english,BERT v.s. RoBERTa (English & 日本語),chumajin,2021-07-02 11:59:00.893000,91
ligtfeather/squeezebert-madgrad-grad-accumulation-w-b,📖 SqueezeBert + MadGrad + Grad Accumulation + W&B,Tanishq Gautam,2021-06-30 11:39:26.933000,90
getitdone/beginners-friendly-notebook,Beginners Friendly Notebook,Ashish Puri,2021-05-31 20:00:09.617000,90
konradb/linear-baseline-with-cv,Linear baseline - with cv,Konrad Banachewicz,2021-05-03 22:19:01.260000,89
alincijov/nlp-starter-logsoftmax-nlloss-cross-entropy,NLP Starter 📋 LogSoftmax NLLoss Cross Entropy,Alin Cijov,2021-08-01 02:11:22.507000,89
chamecall/clrp-finetune-roberta-large,CLRP-Finetune(roberta-large),algernone,2021-07-28 13:49:47.100000,85
krishna1997gopal/understand-bert-in-depth-theory-implementation,Understand BERT in depth(Theory+Implementation),krishan gopal,2021-06-07 05:48:36.150000,83
shreyasajal/pytorch-bert-baseline-lr-schedulers-guide,[PYTORCH]🤗BERT BASELINE+LR SCHEDULERS GUIDE 📑,Shreya Sajal,2021-05-12 17:29:47.677000,82
javigallego/deberta-from-the-ground-up-2-approaches,DeBERTa (from the ground up) + 2 Approaches,Francisco Javier Gallego,2022-10-05 19:04:26.503000,79
sourabhy/commonlit-roberta-ensemble-multichannel-cnn,CommonLit Roberta +Ensemble Multichannel CNN,SOURABH  Y,2021-05-24 03:28:39.860000,78
heyytanay/submission-pytorch-bert-kfolds-inference,[SUBMISSION] PyTorch BERT Kfolds Inference 🎯,Tanay Mehta,2021-05-25 07:30:05.700000,78
takoihiraokazu/final-sub1,final_sub1,Takoi,2021-08-03 21:06:17.817000,77
ligala/readability,Readability,Ligala,2021-07-26 15:40:55.253000,75
mpwolke/dataprep-clean-literature,Dataprep Clean Literature,Marília Prata,2021-06-04 15:51:46.257000,73
chamecall/clrp-pretrain,CLRP-Pretrain,algernone,2021-07-20 08:35:03.457000,71
tensorchoko/commonlit-readability-roberta,⬛CommonLit- Readability roberta  ,tensor choko,2021-07-17 23:15:59.407000,70
chumajin/how-to-initialize-the-code-correctly-english,How to initialize the code correctly (English&日本語),chumajin,2021-07-03 14:31:41.193000,69
yhirakawa/textstat-how-to-evaluate-readability,[Textstat] How to evaluate readability?,shokupan,2021-06-19 12:36:38.267000,68
chumajin/inference-for-pytorch-bert-beginner-s-room,Inference for Pytorch BERT beginner's room,chumajin,2021-05-11 07:54:38.477000,68
thedrcat/commonlit-what-are-we-reading-about,CommonLit: What are we reading about?  ,Darek Kłeczek,2021-05-27 05:26:36.627000,67
heyytanay/commonlit-eda-understanding-the-competition,CommonLit EDA + Understanding the Competition 🚀,Tanay Mehta,2021-05-08 11:48:57.760000,65
mdhamani/clrp-roberta-pre-training-using-deepspeed,CLRP : Roberta Pre-training using DeepSpeed ⚡⚡,Manav Dhamani,2021-07-10 08:27:42.250000,62
bharadwajvedula/clr-lb-0-475-lazy-way-to-get-good-score,[CLR][LB-0.475] Lazy way to get good score,Bharadwaj Vedula,2021-06-26 00:23:36.560000,62
atsushiiwasaki/commonlit-bert-stratified-k-fold-baseline-train,CommonLit: BERT Stratified K Fold Baseline [train],Atsushi Iwasaki,2021-06-07 00:16:59.887000,62
ankur310794/crp-mix-6-models-inference,crp-mix-6-models-inference,Ankur Singh,2021-05-08 17:07:53.350000,62
chamecall/train-val-split,train-val-split,algernone,2021-07-22 15:05:55.373000,61
duttadebadri/eda-basline-modeling-commonlit-passages,EDA & Basline Modeling - CommonLit Passages,Debadri Dutta,2021-06-01 19:10:37.063000,58
sourabhy/commonlit-roberta-cnn,CommonLit Roberta + CNN,SOURABH  Y,2021-05-19 13:49:12.817000,58
dev1ceqqq/ensemblethreemethods,EnsembleThreeMethods,dev1ceqqq,2021-06-21 10:54:50.387000,57
mathislucka/commonlitreadability-r3,CommonLitReadability-r3,Mathis Lucka,2021-08-02 15:31:46.383000,57
tomwarrens/commonlit-readability-prize-eda,CommonLit Readability Prize EDA 🔎📖,Tommaso Guerrini,2022-07-15 14:21:45.853000,57
manishkc06/text-pre-processing-data-wrangling,Text Pre-processing & Data Wrangling,Manish KC,2021-05-05 04:13:41.357000,57
takoihiraokazu/lb-ensemble-add-electra-base-bert-base2-t5-diba2,[lb]_ensemble_add_electra_base_bert_base2_t5_diba2,Takoi,2021-08-02 15:33:43.700000,55
tarandeep97/performance-comparison-of-regression-models,Performance comparison of regression models,Tarandeep Singh,2021-06-21 06:55:10.160000,55
ejmejm/commonlit-bert-submission-video-tutorial,CommonLit BERT Submission + Video Tutorial,Ejmejm,2021-06-06 01:06:16.527000,55
teeyee314/readability-url-scrape,Readability URL Scrape,Tim Yee,2021-05-31 21:03:24.470000,55
houssemayed/lstm-models-for-regression-on-text-data,LSTM models for regression on text data,Houssem Ayed,2021-05-11 13:02:29.990000,54
