ref,title,author,lastRunTime,totalVotes,competition,domain,dataDependency,codeDependency,awareness,modularity,configurableOptions,scalability,readability,performance,duplicateCodeElimination
juliencs/a-study-on-regression-applied-to-the-ames-dataset,A study on Regression applied to the Ames dataset,juliencs,2021-03-18 15:16:37.233000,2667,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
jesucristo/1-house-prices-solution-top-1,#1 House Prices Solution [top 1%],Nanashi,2019-09-06 08:36:08.210000,2501,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
lavanyashukla01/how-i-made-top-0-3-on-a-kaggle-competition,How I made top 0.3% on a Kaggle competition,Lavanya Shukla,2019-06-09 21:10:44.340000,2423,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
ekami66/detailed-exploratory-data-analysis-with-python,Detailed exploratory data analysis with python,Tuatini GODARD,2017-01-20 02:06:37.353000,2357,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
faressayah/practical-introduction-to-10-regression-algorithm,Practical Introduction to 10 Regression Algorithm,Fares Sayah,2023-01-30 23:05:17.167000,2253,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
dansbecker/finding-your-files-in-kaggle-kernels,Finding Your Files in Kaggle Kernels,DanB,2023-03-12 19:36:19.050000,2129,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
dgawlik/house-prices-eda,House Prices EDA,Dominik Gawlik,2017-02-20 10:51:47.840000,2083,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
masumrumi/a-detailed-regression-guide-with-house-pricing,A Detailed Regression Guide with House-pricing,Masum Rumi,2021-11-15 21:46:57.397000,1869,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
nareshbhat/outlier-the-silent-killer,Outlier!!! The Silent Killer,Naresha Bhat,2021-08-30 07:18:27.537000,1810,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
bsivavenu/house-price-calculation-methods-for-beginners,House Price Calculation  methods for beginners,B Siva Venu,2018-12-01 14:25:57.657000,1719,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
emrearslan123/house-price-prediction,House Price Prediction 🏡,Emre Arslan,2022-01-07 14:52:07.017000,1654,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
marsggbo/kaggle,????kaggle????,marsggbo,2017-08-01 03:14:41.033000,1459,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
akhabash/cheatsheet-70-ggplot-charts,Cheatsheet 70+ ggplot Charts 📊,Health informatician,2020-10-01 19:46:17.263000,1445,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
prashant111/comprehensive-guide-on-feature-selection,Comprehensive Guide on Feature Selection,Prashant Banerjee,2020-11-18 15:26:57.150000,1229,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
agileteam/t2-4-house-prices-regression,T2-4. House Prices (Regression),Kim Tae Heon,2022-11-25 02:41:19.150000,1185,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
neviadomski/how-to-get-to-top-25-with-simple-model-sklearn,How to get to TOP 25% with Simple Model (sklearn),Sergei Neviadomski,2018-01-30 03:20:01.367000,1057,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
pavansanagapati/ensemble-learning-techniques-tutorial,Ensemble Learning Techniques Tutorial,Pavan Sanagapati,2020-09-06 06:27:21.763000,988,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
notaapple/detailed-exploratory-data-analysis-using-r,Detailed Exploratory Data Analysis using R ,AiO,2017-01-07 22:25:15.013000,972,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
dejavu23/house-prices-eda-to-ml-beginner,House Prices: EDA to ML (Beginner),deja vu,2019-06-15 14:34:23.930000,861,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
kenjee/housing-prices-example-with-video-walkthrough,Housing Prices Example (With Video Walkthrough),Ken Jee,2023-06-21 19:18:30.047000,833,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
parulpandey/useful-python-libraries-for-data-science,Useful Python libraries for Data Science,Parul Pandey,2020-04-25 06:22:19.080000,785,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
erick5/predicting-house-prices-with-machine-learning,Predicting House Prices with Machine Learning,Eric Kim,2017-08-19 00:45:17.840000,767,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
angqx95/data-science-workflow-top-2-with-tuning,Data Science Workflow TOP 2% (with Tuning),aqx,2021-01-06 05:21:17.597000,755,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
skirmer/fun-with-real-estate-data,Fun with Real Estate Data,Stephanie Kirmer,2016-09-01 20:00:01.707000,752,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
agodwinp/stacking-house-prices-walkthrough-to-top-5,Stacking House Prices - Walkthrough to Top 5%,Arun Godwin Patel,2018-06-12 20:13:04.400000,746,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
pavansanagapati/14-simple-tips-to-save-ram-memory-for-1-gb-dataset,14 Simple Tips to save RAM memory for 1+GB dataset,Pavan Sanagapati,2020-09-03 15:48:17.190000,697,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
massquantity/all-you-need-is-pca-lb-0-11421-top-4,"All You Need is PCA (LB: 0.11421,  top 4%)",massquantity,2018-03-15 14:47:44.077000,669,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
frtgnn/pycaret-introduction-classification-regression,PyCaret Introduction (Classification & Regression),Firat Gonen,2021-10-14 06:38:09.053000,659,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
tannercarbonati/detailed-data-analysis-ensemble-modeling,Detailed Data Analysis & Ensemble Modeling,a ghost,2017-07-15 19:36:06.270000,638,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
zoupet/neural-network-model-for-house-prices-tensorflow,Neural Network Model for House Prices (TensorFlow),Julien Heiduk,2018-05-09 14:10:20.167000,604,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
humananalog/xgboost-lasso,XGBoost + Lasso,Human Analog,2016-11-02 11:14:04.173000,597,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
fedi1996/house-prices-data-cleaning-viz-and-modeling,"House Prices : Data cleaning, viz and modeling ",Fedi Ben Messaoud,2021-07-14 10:10:51.610000,594,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
ryannolan1/kaggle-housing-youtube-video,Kaggle Housing YouTube Video,Ryan Nolan,2023-10-29 15:30:08.127000,593,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
keithfish/kaggle-7-xgbst-enet,给kaggle新手的入门教程(中文完全注释):7种模型集成学习建模方法(xgBst/eNet...),KeithFish,2019-03-05 14:32:22.130000,582,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
mgmarques/houses-prices-complete-solution,Houses Prices - Complete Solution,Marcelo Marques,2018-10-17 22:32:17.287000,581,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
fatmakursun/house-price-some-of-regression-models,House Price(Some of Regression Models),Fatma Kurşun,2020-12-15 11:32:54.217000,575,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
marto24/beginners-prediction-top3,Beginners_Prediction_Top3%🌃💲,Marto93,2021-01-29 19:12:05.053000,574,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
spscientist/a-simple-tutorial-on-exploratory-data-analysis,A Simple Tutorial on Exploratory Data Analysis,Jakki Seshapanpu,2018-11-08 13:16:03.360000,529,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
pavansanagapati/automated-hyperparameter-tuning,Automated Hyperparameter Tuning,Pavan Sanagapati,2020-08-17 11:23:07,521,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
gaetanlopez/how-to-make-clean-visualizations,How to make clean visualizations ,Gaetan L.,2021-04-19 18:38:46.297000,480,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
agehsbarg/top-10-0-10943-stacking-mice-and-brutal-force,"Top 10 (0.10943): stacking, MICE and brutal force",Aleksandrs Gehsbargs,2018-04-18 23:04:34.440000,480,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
desalegngeb/plotly-guide-customize-for-better-visualizations,Plotly guide: Customize for better visualizations,A Legacy Grandmaster!,2022-08-12 09:09:12.233000,472,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
rtatman/example-submission,Example Submission,Rachael Tatman,2019-07-12 18:51:03.370000,458,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
heyrobin/house-price-prediction-beginner-s-notebook,House Price Prediction 🏡 Beginner's Notebook ,Robin S.,2022-04-05 16:15:13.590000,452,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
shaygu/house-prices-begginer-top-7,House prices Begginer top 7%,Shay Guterman,2019-09-09 05:54:54.587000,452,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
darkside92/detailed-examination-for-house-price-top-10,🏠 Detailed Examination for House Price (Top%10),Tolga Kaplan,2020-06-27 19:18:03.763000,441,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
shaoyingzhang/data-exploration-and-prediction-of-house-price,Data Exploration and Prediction of House Price ,Shaoyinger,2018-01-31 01:21:45.477000,427,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
jimthompson/ensemble-model-stacked-model-example,Ensemble Model:  Stacked Model Example,JMT5802,2016-09-07 21:40:00.013000,415,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
tentotheminus9/linear-regression-from-scratch-gradient-descent,Linear Regression from scratch (Gradient Descent),Rob Harrand,2017-02-17 15:10:01.813000,399,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
chanakyavivekkapoor/house-price-prediction,House Price Prediction,Chanakya Vivek Kapoor,2021-01-28 06:05:08.290000,393,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
niteshx2/top-50-beginners-stacking-lgb-xgb,TOP 50 |beginners | Stacking | LGB | XGB ,Nitesh Chaudhry,2019-03-15 18:35:56.183000,393,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
rajmehra03/a-complete-pandas-tutorial,A Complete Pandas Tutorial,Raj Mehrotra,2022-08-23 14:02:20.787000,366,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
nkitgupta/feature-engineering-and-feature-selection,Feature Engineering and Feature Selection,Ankit Gupta,2022-04-28 13:34:32.357000,363,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
surya635/house-price-prediction,House Price Prediction,Suryanand Singh,2018-06-23 04:57:36.057000,360,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
wouldyoujustfocus/llama3-8b-llm20-questions-lb-750,llama3-8b- LLM20 Questions [LB 750],kaoutar,2024-06-29 13:07:17.110000,351,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
allunia/house-prices-tutorial-with-catboost,House Prices Tutorial with Catboost,Laura Fink,2020-02-18 11:24:55.540000,350,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
carlmcbrideellis/an-introduction-to-xgboost-regression,An introduction to XGBoost regression,Carl McBride Ellis,2025-07-01 09:06:35.053000,349,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
gcdatkin/top-10-house-price-regression-competition-nb,🏠 [TOP 10%] House Price Regression Competition NB,Gabriel Atkin,2021-04-27 18:43:06.300000,326,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
satishgunjal/tutorial-k-fold-cross-validation,Tutorial: K Fold Cross Validation,Satish Gunjal,2020-12-06 06:52:48,325,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
kareem3egm/learn-machine-learning-faster-1,Learn machine learning faster 1 ,Karim Negm,2021-04-01 15:23:44.193000,321,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
vjgupta/reach-top-10-with-simple-model-on-housing-prices,Reach Top 10% With Simple Model On Housing Prices.,Vijay Gupta,2018-08-28 05:21:04.720000,320,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
poonaml/house-prices-data-exploration-and-visualisation,House Prices - Data Exploration and Visualisation,Poonam Ligade,2018-02-10 16:13:06.037000,315,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
timolee/a-home-for-pandas-and-sklearn-beginner-how-tos,A Home for Pandas and Sklearn: Beginner How-Tos,TimLee,2017-12-10 19:08:21.550000,311,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
miguelangelnieto/pca-and-regression,PCA and Regression,Miguel Angel,2017-02-20 14:58:38.947000,301,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
janiobachmann/house-prices-useful-regression-techniques,House Prices ||  Useful Regression Techniques ,Janio Martinez Bachmann,2020-11-26 14:45:04.040000,300,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
frtgnn/ml-101-beginner-s-stop-xgb-lgbm-blend,ML 101 Beginner's Stop XGB & LGBM & Blend,Firat Gonen,2023-03-01 11:15:48.473000,292,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
ohseokkim/house-price-all-about-house-price,[House Price] All about House Price!,OH SEOK KIM,2022-01-11 14:11:31.367000,286,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
diegosiebra/neural-network-model-for-house-prices-keras,Neural Network Model for House Prices (Keras),Diego Siebra Ferreira,2017-11-03 11:43:38.760000,279,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
bextuychiev/model-explainability-with-shap-only-guide-u-need,Model Explainability with SHAP: Only Guide U Need,bexgboost,2023-02-21 17:24:33.427000,277,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
marianadeem755/house-price-prediction-ml-models-deepneuralnetwork,House Price prediction ML Models|DeepNeuralNetwork,maria nadeem,2024-01-30 12:25:41.803000,276,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
serkanp/house-prices-advanced-regression-techniques,House Prices - Advanced Regression Techniques,Serkan Polat,2023-02-07 09:35:19.347000,275,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
gomes555/xgboost-bayes-opt-with-tidymodels,XGBoost bayes opt with tidymodels,Fellipe Gomes,2020-07-29 02:57:37.910000,275,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
katotaka/kaggle-prediction-house-prices,Kaggle ??????????:Prediction(??) House Prices,Takahiro KATO,2018-09-28 06:32:12.413000,274,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
rbyron/simple-linear-regression-models,Simple linear regression models,Rocío Ventura,2018-03-30 10:28:21.830000,269,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
adamml/how-to-be-in-top-10-for-beginner,How to be in Top 10% for beginner,Muhammad Raafat,2021-02-14 18:51:34.767000,263,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
pablocastilla/predict-house-prices-with-xgboost-regression,Predict house prices with XGBoost regression,Pablo Castilla,2016-10-26 08:06:20.520000,260,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
tahmidmir/house-prices-advanced-regression-techniques,🎉✨House-Prices-Advanced Regression Techniques,Mir Tahmid,2024-06-19 21:43:45.010000,258,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
alaasedeeq/object-oriented-programming-for-data-science,Object oriented programming for Data Science,Alaa Sedeeq,2022-02-21 18:57:55.840000,248,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
debarshichanda/handling-missing-values,Handling Missing Values,Debarshi Chanda,2021-05-23 16:33:10.120000,246,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
paultimothymooney/get-your-model-ready-to-submit,Get your model ready to submit,Paul Mooney,2018-06-13 14:26:44.950000,246,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
itslek/blend-stack-lr-gb-0-10649-house-prices-v57,Blend&Stack LR&GB = [0.10649] {House Prices} v57,Alex Lekov,2019-03-21 22:21:15.983000,243,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
pavansanagapati/tableau-intro-use-cases,Tableau Intro & Use Cases!!!!,Pavan Sanagapati,2020-08-02 17:26:05.997000,242,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
adachowicz/house-prices-random-forest-regression-analysis,House Prices: Random Forest Regression Analysis,Adam Dachowicz,2017-12-02 19:28:55.693000,235,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
jack89roberts/top-7-using-elasticnet-with-interactions,Top 7% using ElasticNet with Interactions,Jack Roberts,2018-05-30 09:13:04.567000,230,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
agileteam/house-prices-starter-xgb,House-prices starter (XGB),Kim Tae Heon,2022-11-25 02:42:17.297000,228,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
carlmcbrideellis/what-is-adversarial-validation,What is Adversarial Validation?,Carl McBride Ellis,2022-10-17 10:46:35.483000,227,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
pavansanagapati/pandas-bokeh-visualization-tutorial,Pandas Bokeh  Visualization Tutorial,Pavan Sanagapati,2020-07-05 01:20:21.690000,227,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
arunkumarramanan/tensorflow-tutorial-and-housing-price-prediction,TensorFlow Tutorial and Housing Price Prediction,Arunkumar Venkataramanan,2019-02-21 13:47:30.987000,225,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
datajameson/advance-regression-house-price-prediction-top-2,Advance Regression House Price prediction(Top 2 %),datajameson,2021-03-12 10:14:55.603000,224,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
jiashenliu/updated-xgboost-with-parameter-tuning,Updated: XGBoost with parameter tuning,Jiashen Liu,2016-09-24 20:17:08.747000,224,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
emmanueldjegou/house-prices-advanced-regression-techniques,House Prices - Advanced Regression Techniques 🏠,Emmanuel DJEGOU,2022-06-29 00:02:51.757000,221,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
laurenstc/top-2-of-leaderboard-advanced-fe,Top 2% of LeaderBoard - Advanced FE,Laurenstc,2018-02-24 21:19:56.067000,219,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
satishgunjal/ensemble-learning-bagging-boosting-stacking,"Ensemble Learning: Bagging, Boosting & Stacking",Satish Gunjal,2021-12-27 07:06:09.340000,218,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
kishkun/house-pricing-analysis-model,HOUSE_PRICING_ANALYSIS_MODEL,Anastasia Kishkun,2020-10-21 12:30:44.457000,217,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
rebeccaysteboe/regression-algorithms-compared,Regression Algorithms compared ,rysteboe,2018-08-01 18:56:02.090000,217,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
jongbeompark/house-prices-with-pytorch,House Prices with PyTorch,jbpark,2019-04-16 06:01:16.157000,216,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
pradeeptripathi/predicting-house-prices-using-r,Predicting House Prices using R,Pradeep Tripathi,2017-09-03 11:53:05.457000,215,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
alfathterry/house-price-prediction,House Price Prediction,Al Fath Terry,2024-02-20 14:33:26.120000,210,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
kartushovdanil/econometrics-is-all-you-need,🎓Econometrics is all you need🎓,Kartushov Danil,2022-02-07 17:27:41.740000,206,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
blighpark/t2-4-house-prices-regression,T2-4. House Prices (Regression),Bligh Park,2022-12-02 06:35:40.427000,206,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
mekhdigakhramanian/first-place-top-1-with-leakage,First place / Top 1% with leakage,Mehdi Ghahramanian,2020-10-09 07:53:44.480000,203,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
odaymourad/detailed-full-solution-step-by-step-top-3,Detailed & Full Solution (Step by Step - Top 3%),Oday Mourad,2022-10-26 08:39:51.243000,202,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
ravi20076/houseprice-bootstrappingensembles-pipelines,HousePrice|BootstrappingEnsembles|Pipelines,Ravi Ramakrishnan,2023-12-14 19:31:55.837000,202,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
hardikgarg03/house-price-random-forest-linear-regression,House Price Random Forest & Linear Regression,InSaNe03,2024-01-23 05:56:29.627000,198,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
lovroselic/houseprices-ls,HousePrices (LS),Lovro Selic,2025-05-13 08:44:32.977000,193,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
vanguarde/study-series-uplift-modeling,[study series] Uplift modeling,Daniil Karpov,2022-04-10 12:09:52.797000,192,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
couyang/hybrid-svm-benchmark-approach-0-11180-lb-top-2,Hybrid SVM Benchmark Approach [0.11180] LB: Top 2%,Owen Ouyang,2018-09-05 13:33:36.373000,192,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
alaasedeeq/house-price-prediction-top-8,✔ House Price prediction(Top 8%),Alaa Sedeeq,2021-05-06 13:10:56.507000,190,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
bextuychiev/7-coolest-packages-top-kagglers-are-using,7 Coolest Packages Top Kagglers Are Using,bexgboost,2021-09-03 09:19:58.197000,189,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
carlmcbrideellis/tabnet-a-very-simple-regression-example,TabNet: A very simple regression example,Carl McBride Ellis,2020-11-12 17:26:08.363000,187,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
code1110/houseprice-data-cleaning-visualization,HousePrice - data cleaning & visualization,katsu1110,2017-12-26 08:37:22.250000,187,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
