ref,title,author,lastRunTime,totalVotes
yekenot/2dcnn-textclassifier,2DCNN textClassifier,Vladimir Demidov,2018-11-12 16:52:33.257000,213
hengzheng/pytorch-starter,PyTorch starter,heng,2018-12-14 10:45:00.190000,210
mlwhiz/third-place-model-for-toxic-comments-in-pytorch,Third Place Model for Toxic Comments in Pytorch,Rahul Agarwal,2019-02-12 06:57:31.297000,204
mikexia/kernela488168da3,kernela488168da3,SUFE_NLP_CLASS_XiaYang,2019-01-09 14:06:42.730000,195
peining/about-the-variance-and-the-cv-result,About the variance and the cv result,Peining,2019-02-01 05:05:06.513000,188
ziliwang/baseline-pytorch-bilstm,baseline: pytorch BiLSTM,Zili Wang,2018-11-23 03:22:15.377000,188
shujian/single-rnn-with-4-folds-v1-9,Single RNN with 4 folds v1.9,Shujian Liu,2018-11-23 19:47:02.380000,187
sfzero/fork-of-gamma-bianli-feature-1-1-i-16,Fork of gamma bianli  feature修正 1.1+i/16,Pangfengzi,2019-01-29 16:01:36.530000,184
ashishpatel26/beginner-to-intermediate-nlp-tutorial,Beginner to Intermediate NLP Tutorial,NowYSM,2018-12-27 09:13:58.360000,174
suicaokhoailang/magic-numbers-is-all-you-need-0-692-lb,Magic numbers is all you need [0.692 LB],Khoi Nguyen,2018-12-04 23:40:29.123000,172
zeus75/quora-with-bilstm,Quora with BiLSTM,Kenshiro75,2019-02-01 18:15:35.130000,159
christofhenkel/inceptioncnn-with-flip,InceptionCNN with flip,Dieter,2018-11-10 09:03:09.020000,159
arthurtok/target-visualization-t-sne-and-doc2vec,Target Visualization - T-SNE and Doc2Vec,Anisotropic,2018-12-31 14:06:12.880000,158
shujian/transformer-initial-attempt,Transformer (initial attempt),Shujian Liu,2018-11-16 15:35:18.867000,157
deffro/text-pre-processing-techniques,Text Pre-processing Techniques,Dimitrios Effrosynidis,2018-11-24 21:43:43.027000,157
alsaco/is-this-a-desirable-competition-format,Is this a desirable competition format?,Alejandro Sáez,2019-02-05 16:03:14.773000,154
paulorzp/compressing-a-binary-submission-within-a-string, Compressing a binary submission within a string,Paulo Pinto,2019-01-16 17:17:49.410000,153
zikazika/natural-language-processing-theory-and-practice,Natural Language Processing - Theory and practice,Noah Weber,2019-02-13 03:41:42.503000,152
shujian/single-rnn-with-5-folds-snapshot-ensemble,Single RNN with 5 folds - snapshot ensemble,Shujian Liu,2018-11-25 06:19:53.557000,152
nikhilroxtomar/embeddings-cnn-lstm-models-lb-0-683,Embeddings - CNN & LSTM Models [LB: 0.683],Nikhil Tomar,2018-11-15 08:58:17.780000,148
tunguz/just-some-simple-eda,Just some simple EDA,Bojan Tunguz,2018-12-20 19:27:20.200000,141
ryanzhang/tfidf-naivebayes-logreg-baseline,TFIDF-NaiveBayes-LogReg Baseline,Ren,2018-11-10 21:29:50.167000,139
syhens/speed-up-your-preprocessing,speed up your preprocessing,yao,2018-12-15 18:07:44.013000,138
shaz13/feature-engineering-for-nlp-classification,Feature Engineering For NLP Classification,Shahebaz Mohammad,2018-12-08 11:35:11.340000,134
mlwhiz/attention-pytorch-and-keras,Attention - Pytorch and Keras,Rahul Agarwal,2019-03-09 04:07:10.760000,133
christofhenkel/temporal-convolutional-network,Temporal Convolutional Network,Dieter,2018-12-09 07:32:37.550000,133
konohayui/topic-modeling-on-quora-insincere-questions,Topic Modeling on Quora Insincere Questions,MengYe,2018-11-19 01:35:19.913000,131
au1206/fine-tuning-bert-text-classification,Fine Tuning BERT: Text Classification,AU12,2021-06-30 18:53:45.937000,130
jiangm/5th-place-solution,5th place solution,padeof,2019-02-15 13:47:02.350000,128
hengzheng/attention-capsule-why-not-both-lb-0-694,Attention? Capsule? Why not both! [LB:0.694],heng,2018-12-14 16:35:12.093000,120
danofer/different-embeddings-with-attention-fork,Different embeddings with Attention! [Fork],Dan Ofer,2018-11-12 10:23:19.793000,119
frtgnn/beginner-s-stop-to-text-data-an-introduction,Beginner's Stop to Text Data: An Introduction,Firat Gonen,2020-03-30 10:02:01.017000,117
ananyabioinfo/text-classification-using-word2vec,Text classification using word2vec,ANANYA JENA,2019-03-09 15:51:19.220000,115
shujian/transformer-with-lstm,Transformer with LSTM,Shujian Liu,2018-11-17 01:22:05.370000,115
kailex/r-eda-for-q-gru,R EDA for Q + GRU,kxx,2019-01-21 21:43:37.850000,114
taindow/simple-lstm-with-r,Simple LSTM with R,Tom Aindow,2018-11-07 14:51:47.290000,110
christofhenkel/keras-starter,keras starter,Dieter,2018-11-06 19:48:53.347000,110
nicapotato/eli5-shap-lgbm-lr-interpretable-ml,ELI5 & SHAP - LGBM/LR - Interpretable ML,nicapotato,2018-12-28 10:45:32.543000,104
kfujikawa/4th-place,4th place,KF,2019-02-23 14:07:08.377000,103
dannykliu/lstm-with-attention-clr-in-pytorch,"LSTM with Attention, CLR in PyTorch!",Danny Liu,2018-12-14 02:18:54.467000,102
theoviel/dealing-with-class-imbalance-with-smote,Dealing with Class Imbalance with SMOTE,Theo Viel,2018-11-15 15:30:53.313000,101
stacykurnikova/using-glove-embedding,Using GloVe embedding,StacyKurnikova,2018-11-07 05:39:24.003000,101
theoviel/using-word-embeddings-for-data-augmentation,Using Word Embeddings for Data Augmentation,Theo Viel,2018-11-16 12:35:35.293000,100
smokerx/test-others,test_others,SmokerX,2018-12-10 13:01:04.317000,97
strideradu/word2vec-and-gensim-go-go-go,"Word2Vec and gensim, Go!Go!Go!",Strideradu,2018-11-09 04:46:36.207000,94
dromosys/notebook-3rd-place,Notebook 3rd place,Dromosys,2019-02-15 03:32:20.083000,93
mschumacher/adding-an-auxiliary-task,Adding an auxiliary task,Max Schumacher,2018-12-15 12:37:48.507000,92
ishitori/what-if-we-could-finetune-bert-from-apache-mxnet,What if we could finetune BERT from Apache MXNet?,Ishitori,2019-01-17 18:42:09.693000,90
chanchal24/quora-text-classification,Quora-Text-Classification,Chanchal Alam,2025-02-05 18:10:36.380000,86
jetouxu/bilstm-attention-kfold-clr-extra-features-bn,BiLSTM-attention-Kfold-CLR-Extra Features+bn,jetou Xu,2019-01-13 07:44:11.937000,86
fareise/multi-head-self-attention-for-text-classification,Multi-head Self Attention for Text Classification,Yucheng Lu,2018-11-17 14:32:32.370000,86
ashishpatel26/attension-layer-basic-for-nlp,Attension Layer Basic For NLP,NowYSM,2019-01-04 07:43:54.557000,85
ratthachat/handle-overfitting-error-analysis-of-glove-gru,Handle Overfitting & Error Analysis of Glove-GRU,Neuron Engineer,2018-12-23 14:58:36.860000,84
alber8295/bigru-w-attention-visualized-for-beginners,BiGRU w/ Attention visualized for beginners ,Alber,2018-11-13 21:25:26.163000,84
kuldeep7688/simple-rnn-using-glove-embeddings-in-pytorch,Simple RNN Using Glove Embeddings In Pytorch,KuldeepSingh,2018-11-12 18:02:48.307000,83
isikkuntay/gru-with-attention,GRU with Attention,Kepler456b,2019-03-24 06:49:26.660000,82
robertke94/pytorch-bi-lstm-attention,PyTorch - Bi-LSTM + Attention,Robert Ke,2018-12-08 05:05:25.840000,82
suvroo/how-ai-interprets-explainable-ai-lime-shap,"How AI interprets? Explainable AI [LIME,SHAP]",Suvradeep,2024-10-03 12:16:38.707000,81
kashnitsky/how-to-download-submission-file-without-committing,How to download submission file without committing,Yury Kashnitsky,2019-01-14 22:20:50.297000,80
canming/ensemble-mean-iii-64-36,"Ensemble, mean III(64/36)",GuiGui,2019-01-31 05:35:37.840000,77
nikhilroxtomar/gru-with-kfold-lb-0-689,GRU with KFold [LB: 0.689],Nikhil Tomar,2018-11-24 03:42:35.217000,74
ryches/parts-of-speech-disambiguation-error-analysis,Parts of speech disambiguation + error analysis,ryches,2019-01-15 01:26:39.813000,73
mlwhiz/learning-text-classification-textcnn,Learning Text Classification - TextCNN,Rahul Agarwal,2018-12-17 13:33:21.737000,71
shujian/test-the-difficulty-of-this-classification-tasks,Test the Difficulty of this Classification Tasks,Shujian Liu,2018-11-24 04:11:57.480000,70
christofhenkel/gru-crf,GRU+CRF,Dieter,2018-12-09 08:19:30.177000,68
tunguz/quora-adversarial-validation,Quora Adversarial Validation,Bojan Tunguz,2022-10-03 10:41:29.467000,68
ashishpatel26/vowpal-wabbit-best-text-classification-fe,Vowpal Wabbit(Best Text Classification)+ FE,NowYSM,2018-11-08 11:14:29.577000,68
mlwhiz/textcnn-pytorch-and-keras,TextCNN - Pytorch and Keras,Rahul Agarwal,2019-03-09 04:05:50.657000,67
mlwhiz/bilstm-pytorch-and-keras,BiLSTM - Pytorch and Keras,Rahul Agarwal,2019-03-09 04:06:28.713000,66
satian/a-look-at-different-embeddings-with-attention,A look at different embeddings with Attention! ,Ankit Sati,2018-11-11 14:29:22.113000,62
